Week,Team Name,Score
1,Bloodbath Mcgrath,131.56
2,Bloodbath Mcgrath,159.26
3,lil' Scamps,151.56
4,Taylor Made,150.1
5,Taylor Made,151.58
6,BEC Michael,125.66
7,EL Diablo,149.26
8,BEC Michael,126.4
9,BEC Michael,139.5
10,Naturally Lit,134.48
11,BDE Culture ,135.3
12,BEC Michael,133.06
13,BEC Michael,143.96
14,lil' Scamps,142.44
15,Make Gronk Great Again,146.06
16,Make Gronk Great Again,136.38
17,Taylor Made,166.22
